phase,pc1
0.029583,519.973221
0.105524,438.049482
0.181482,320.040286
0.247118,142.416942
0.299010,-157.012235
0.326695,-336.324908
0.353610,-689.781022
0.386666,-1098.540146
0.423863,-1537.873081
0.479188,-1800.224102
0.530871,-1653.200249
0.558358,-1410.923795
0.578920,-1115.900806
0.599479,-813.129739
0.619348,-512.265891
0.633721,-261.228148
0.648111,-48.382471
0.661135,135.711874
0.681704,470.802920
0.712080,770.072993
0.747028,904.234568
0.798742,983.232460
0.919558,852.544590
0.978238,791.914521
