phase,pc1
0.029851,-49.591822
0.105739,-19.358061
0.174730,4.590545
0.257610,-159.798756
0.312936,-424.295400
0.347560,-686.061252
0.368359,-894.186560
0.392619,-1126.628915
0.447574,-1418.671873
0.491670,-1441.320103
0.535090,-1191.201912
0.560424,-912.960750
0.575254,-656.451672
0.590528,-324.817518
0.609187,-69.343066
0.633437,342.227966
0.663389,584.759851
0.681508,833.575344
0.709595,1062.043796
0.754128,1208.029197
0.790396,1124.843494
0.857433,899.791614
0.926535,689.672395
0.981806,541.234382
